id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue
195;194;AES;19;190;014 ;-4.5%;"-$1,130.0 ";-469.3%;036 ;007 
196;195;WellCare Health Plans;"7,4";202;014 ;2.5%;$242.1 ;104.1%;006 ;006 
197;196;FirstEnergy;"15,707";188;014 ;-3.1%;"-$6,177.0 ";-;043 ;014 
198;197;ConAgra Foods;"20,9";176;014 ;-10.8%;-$677.0 ;-;013 ;018 
199;198;Synnex;110;212;014 ;5.4%;$234.9 ;12.7%;005 ;004 
200;199;CDW;"8,516";220;014 ;7.6%;$424.4 ;5.3%;007 ;009 
201;200;Textron;36;209;014 ;2.7%;$962.0 ;38.0%;015 ;013 
202;201;Waste Management;"41,2";221;014 ;5.0%;"$1,182.0 ";57.0%;021 ;032 
203;202;Illinois Tool Works;50;211;014 ;1.4%;"$2,035.0 ";7.2%;015 ;046 
204;203;Office Depot;38;196;014 ;-6.2%;$529.0 ;-;006 ;002 
205;204;Monsanto;"22,45";189;014 ;-10.0%;"$1,336.0 ";-42.3%;020 ;050 
206;205;Cognizant Technology Solutions;"260,2";230;013 ;8.6%;"$1,553.0 ";-4.3%;014 ;036 
207;206;Texas Instruments;"29,865";219;013 ;2.8%;"$3,595.0 ";20.4%;016 ;081 
208;207;Lincoln National;"9,057";205;013 ;-1.8%;"$1,192.0 ";3.3%;262 ;015 
209;208;Newell Brands;"53,4";434;013 ;122.1%;$527.8 ;50.8%;034 ;023 
210;209;Land O;10;215;013 ;0.6%;$244.9 ;-20.4%;008 ;-
211;210;Marsh & McLennan;60;222;013 ;2.5%;"$1,768.0 ";10.6%;018 ;038 
212;211;Ecolab;"47,565";206;013 ;-2.9%;"$1,229.6 ";22.7%;018 ;036 
213;212;C.H. Robinson Worldwide;"14,125";208;013 ;-2.5%;$513.4 ;0.7%;004 ;011 
214;213;Loews;"15,8";210;013 ;-2.3%;$654.0 ;151.5%;077 ;016 
215;214;CBRE Group;75;259;013 ;20.4%;$572.0 ;4.5%;011 ;012 
216;215;Kinder Morgan;"11,121";198;013 ;-9.3%;$708.0 ;179.8%;080 ;049 
217;216;Kellogg;"37,369";207;013 ;-3.8%;$694.0 ;13.0%;015 ;025 
218;217;Western Digital;"72,878";194;013 ;-10.8%;$242.0 ;-83.5%;033 ;024 
219;218;Guardian Life Ins. Co. of America;"8,876";226;013 ;2.3%;$263.9 ;-35.7%;070 ;-
220;219;Ross Stores;"78,6";237;013 ;7.8%;"$1,117.7 ";9.5%;005 ;026 
221;220;L Brands;"59,1";234;013 ;3.5%;"$1,158.1 ";-7.6%;008 ;013 
222;221;J.C. Penney;106;228;013 ;-0.6%;$1.0 ;-;009 ;002 
223;222;Farmers Insurance Exchange;"13,309";227;013 ;-0.9%;-$147.9 ;-;016 ;-
224;223;Reynolds American;"5,525";266;013 ;17.1%;"$6,073.0 ";86.7%;051 ;090 
225;224;Viacom;"9,65";213;012 ;-5.9%;"$1,438.0 ";-25.2%;023 ;019 
226;225;Becton Dickinson;"50,928";278;012 ;21.4%;$976.0 ;40.4%;026 ;039 
227;226;Micron Technology;"31,4";173;012 ;-23.4%;-$276.0 ;-109.5%;028 ;032 
228;227;Principal Financial;"14,854";236;012 ;3.6%;"$1,316.5 ";6.7%;228 ;018 
229;228;Arconic;"41,5";126;012 ;-45.0%;-$941.0 ;-;020 ;012 
230;229;NRG Energy;"8,763";193;012 ;-15.8%;-$774.0 ;-;030 ;006 
231;230;VF;69;231;012 ;-1.4%;"$1,074.1 ";-12.8%;010 ;023 
232;231;Devon Energy;"3,545";216;012 ;-7.2%;"-$3,302.0 ";-;026 ;022 
233;232;D.R. Horton;"6,976";260;012 ;12.3%;$886.3 ;18.1%;012 ;012 
234;233;Bed Bath & Beyond;62;238;012 ;1.9%;$841.5 ;-12.1%;006 ;006 
235;234;Consolidated Edison;"14,96";229;012 ;-3.8%;"$1,245.0 ";4.4%;048 ;024 
236;235;Edison International;"12,39";246;012 ;3.0%;"$1,311.0 ";28.5%;051 ;026 
237;236;Sherwin-Williams;"42,55";253;012 ;4.6%;"$1,132.7 ";7.5%;007 ;029 
238;237;NGL Energy Partners;"3,2";167;012 ;-30.1%;-$198.9 ;-633.2%;006 ;003 
239;238;Dominion Resources;"16,2";243;012 ;0.5%;"$2,123.0 ";11.8%;072 ;049 
240;239;Ameriprise Financial;"13,195";232;012 ;-3.8%;"$1,314.0 ";-15.9%;140 ;020 
241;240;ADP;57;248;012 ;1.7%;"$1,492.5 ";2.8%;044 ;046 
242;241;Hilton Worldwide Holdings;169;254;012 ;3.5%;$348.0 ;-75.2%;026 ;019 
243;242;First Data;24;249;012 ;1.2%;$420.0 ;-;040 ;014 
244;243;Henry Schein;21;268;012 ;8.9%;$506.8 ;5.8%;007 ;013 
245;244;Toys ;64;240;012 ;-2.2%;-$36.0 ;-;007 ;-
246;245;BB&T Corp.;"37,5";273;012 ;11.5%;"$2,426.0 ";16.4%;219 ;036 
247;246;Reinsurance Group of America;"2,371";271;012 ;10.6%;$701.4 ;39.7%;053 ;008 
248;247;Core-Mark Holding;"7,688";317;012 ;29.9%;$54.2 ;5.2%;001 ;001 
249;248;Biogen;"7,4";263;011 ;6.4%;"$3,702.8 ";4.4%;023 ;059 
250;249;Las Vegas Sands;49;241;011 ;-2.4%;"$1,670.0 ";-15.1%;020 ;045 
251;250;Stanley Black & Decker;"54,023";256;011 ;1.7%;$965.3 ;9.2%;016 ;020 
