id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue,,,
281;280;Sempra Energy;16575;279;10183;-0.5%;1,370.0 ;1.6%;47,786;27692,
282;281;Baxter International;48;286;10163;2.0%;4,965.0 ;412.9%;15,546;28106,
283;282;W.W. Grainger;25;285;10137;1.6%;605.9 ;-21.2%;5,694;13668,,
284;283;Autoliv;659;310;10074;9.9%;567.1 ;24.1%;8,234;9032,,
285;284;Norfolk Southern;27856;270;9888;-5.9%;1,668.0 ;7.2%;34,892;32515,
286;285;Baker Hughes;33;178;9841;-37.5%;-2,738.0 ;0;19,034;25444,
287;286;Ally Financial;76;298;9835;3.1%;1,067.0 ;-17.2%;163,728;9437,
288;287;Sonic Automotive;98;297;9732;1.1%;93.2 ;8.0%;3,639;900,,
289;288;Owens & Minor;79;291;9723;-0.5%;108.8 ;5.2%;2,718;2114,,
290;289;Huntsman;15;277;9657;-6.2%;326.0 ;250.5%;9,189;5880,,
291;290;Laboratory Corp. of America;52;325;9642;11.1%;732.1 ;67.6%;14,247;14696,,
292;291;Murphy USA;66;258;9633;-11.5%;221.5 ;25.6%;2,089;2706,,
293;292;Advance Auto Parts;575;293;9568;-1.7%;459.6 ;-2.9%;8,315;10944,,
294;293;Fidelity National Financial;55219;311;9554;4.6%;650.0 ;23.3%;14,463;10600,,
295;294;Air Products & Chemicals;1845;288;9524;-3.7%;631.1 ;-50.6%;18,055;29438,,
296;295;Hormel Foods;211;304;9523;2.8%;890.1 ;29.7%;6,370;18316,,
297;296;Hertz Global Holdings;36;269;9480;-10.0%;-491.0 ;-279.9%;19,155;1456,,
298;297;MGM Resorts International;665;309;9455;2.9%;1,101.4 ;0;28,173;15733,
299;298;Corning;407;313;9390;3.1%;3,695.0 ;176.0%;27,899;25030,
300;299;Republic Services;33;312;9388;3.0%;612.6 ;-18.3%;20,630;21312,,
301;300;Alcoa;14;;9318;-;-400.0 ;0;16,741;6337,,
302;301;Fidelity National Information Services;55;392;9241;40.1%;568.0 ;-10.1%;26,031;26178,,
303;302;Pacific Life;3628;326;9169;6.1%;824.0 ;24.7%;143,298;0,,
304;303;SunTrust Banks;24375;329;9161;7.4%;1,878.0 ;-2.8%;204,875;27175,
305;304;LKQ;425;369;9082;26.3%;464.0 ;9.6%;8,303;9021,,
